network_id,strategy,database,initial_conditions,num_nodes\nnetwork_001,complete,omnipath,random,11\nnetwork_002,complete,omnipath,random,12\nnetwork_003,complete,omnipath,random,13\nnetwork_004,complete,omnipath,random,14\nnetwork_005,complete,omnipath,random,15\nnetwork_001,complete_connection,omnipath,growth_focused,52,359,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,bfs,False,2,False
network_002,complete_connection,omnipath,cell_cycle_focused,37,219,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-False.bnet,bfs,False,3,False
network_001,complete_connection,omnipath,growth_focused,52,382,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,,bfs,False,2,False
network_002,complete_connection,omnipath,cell_cycle_focused,38,226,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-False.bnet,,bfs,False,3,False
network_001,complete_connection,omnipath,growth_focused,51,389,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,,bfs,False,2,False
network_001,complete_connection,omnipath,growth_focused,57,436,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-False.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,bfs,False,2,False
network_002,complete_connection,omnipath,cell_cycle_focused,40,243,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-False.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,bfs,False,3,False
network_001,complete_connection,omnipath,growth_focused,55,502,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,42,317,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,,bfs,False,3,True
network_001,complete_connection,omnipath,growth_focused,50,454,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,41,295,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,65,529,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,76,624,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_001,complete_connection,omnipath,growth_focused,58,476,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,48,387,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,73,594,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,81,676,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_001,complete_connection,omnipath,growth_focused,60,551,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_001,complete_connection,omnipath,growth_focused,54,445,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,41,301,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,70,533,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,80,672,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_005,complete_connection,omnipath,cell_cycle_focused,193,3159,0,0.0,sensitivity_analysis_results/bnet_files/network_005_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_005_trajectories.png,sensitivity_analysis_results/plots/network_005_network.pdf,dfs,False,2,True
network_001,complete_connection,omnipath,growth_focused,63,454,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,42,258,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,81,611,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,85,693,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_001,complete_connection,omnipath,growth_focused,54,389,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,40,257,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,73,479,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,83,600,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_005,complete_connection,omnipath,cell_cycle_focused,193,2798,0,0.0,sensitivity_analysis_results/bnet_files/network_005_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_005_trajectories.png,sensitivity_analysis_results/plots/network_005_network.pdf,dfs,False,2,True
network_001,complete_connection,omnipath,growth_focused,63,470,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,46,304,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,76,576,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,86,666,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_005,complete_connection,omnipath,cell_cycle_focused,193,2798,0,0.0,sensitivity_analysis_results/bnet_files/network_005_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_005_trajectories.png,,dfs,False,2,True
network_006,complete_connection,omnipath,random,356,4745,0,0.0,sensitivity_analysis_results/bnet_files/network_006_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_006_trajectories.png,,dfs,False,3,True
network_007,complete_connection,omnipath,growth_focused,379,5129,0,0.0,sensitivity_analysis_results/bnet_files/network_007_complete_connection_omnipath_algorithm-dfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_007_trajectories.png,,dfs,True,2,True
network_017,connect_network_radially,omnipath,cell_cycle_focused,467,1535,0,0.0,sensitivity_analysis_results/bnet_files/network_017_connect_network_radially_omnipath_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_017_trajectories.png,,False,True
network_018,connect_network_radially,omnipath,random,387,1294,0,0.0,sensitivity_analysis_results/bnet_files/network_018_connect_network_radially_omnipath_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_018_trajectories.png,,True,True
network_021,connect_as_atopo,omnipath,random,193,2798,0,0.0,sensitivity_analysis_results/bnet_files/network_021_connect_as_atopo_omnipath_strategy-complete_max_len-2_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_021_trajectories.png,,complete,2,False,True
network_022,connect_as_atopo,omnipath,growth_focused,379,5129,0,0.0,sensitivity_analysis_results/bnet_files/network_022_connect_as_atopo_omnipath_strategy-complete_max_len-2_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_022_trajectories.png,,complete,2,True,True
network_023,connect_as_atopo,omnipath,cell_cycle_focused,356,4745,0,0.0,sensitivity_analysis_results/bnet_files/network_023_connect_as_atopo_omnipath_strategy-complete_max_len-3_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_023_trajectories.png,,complete,3,False,True
network_001,complete_connection,omnipath,growth_focused,59,459,0,0.0,sensitivity_analysis_results/bnet_files/network_001_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_001_trajectories.png,sensitivity_analysis_results/plots/network_001_network.pdf,bfs,False,2,True
network_002,complete_connection,omnipath,cell_cycle_focused,41,227,0,0.0,sensitivity_analysis_results/bnet_files/network_002_complete_connection_omnipath_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_002_trajectories.png,sensitivity_analysis_results/plots/network_002_network.pdf,bfs,False,3,True
network_003,complete_connection,omnipath,random,76,577,0,0.0,sensitivity_analysis_results/bnet_files/network_003_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_003_trajectories.png,sensitivity_analysis_results/plots/network_003_network.pdf,bfs,True,2,True
network_004,complete_connection,omnipath,growth_focused,85,705,0,0.0,sensitivity_analysis_results/bnet_files/network_004_complete_connection_omnipath_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_004_trajectories.png,sensitivity_analysis_results/plots/network_004_network.pdf,bfs,True,3,True
network_005,complete_connection,omnipath,cell_cycle_focused,193,2798,0,0.0,sensitivity_analysis_results/bnet_files/network_005_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_005_trajectories.png,,dfs,False,2,True
network_006,complete_connection,omnipath,random,356,4745,0,0.0,sensitivity_analysis_results/bnet_files/network_006_complete_connection_omnipath_algorithm-dfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_006_trajectories.png,,dfs,False,3,True
network_007,complete_connection,omnipath,growth_focused,379,5129,0,0.0,sensitivity_analysis_results/bnet_files/network_007_complete_connection_omnipath_algorithm-dfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_007_trajectories.png,,dfs,True,2,True
network_009,complete_connection,signor,random,54,227,0.0006988120195667365,0.037037037037037035,sensitivity_analysis_results/bnet_files/network_009_complete_connection_signor_algorithm-bfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_009_trajectories.png,sensitivity_analysis_results/plots/network_009_network.pdf,bfs,False,2,True
network_010,complete_connection,signor,growth_focused,74,391,0.0022213994816734544,0.16216216216216217,sensitivity_analysis_results/bnet_files/network_010_complete_connection_signor_algorithm-bfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_010_trajectories.png,sensitivity_analysis_results/plots/network_010_network.pdf,bfs,False,3,True
network_011,complete_connection,signor,cell_cycle_focused,25,46,0.0033333333333333335,0.08,sensitivity_analysis_results/bnet_files/network_011_complete_connection_signor_algorithm-bfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_011_trajectories.png,sensitivity_analysis_results/plots/network_011_network.pdf,bfs,True,2,True
network_012,complete_connection,signor,random,41,90,0.003658536585365854,0.14634146341463414,sensitivity_analysis_results/bnet_files/network_012_complete_connection_signor_algorithm-bfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_012_trajectories.png,sensitivity_analysis_results/plots/network_012_network.pdf,bfs,True,3,True
network_013,complete_connection,signor,growth_focused,84,449,0.0008605851979345956,0.07142857142857142,sensitivity_analysis_results/bnet_files/network_013_complete_connection_signor_algorithm-dfs_consensus-False_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_013_trajectories.png,sensitivity_analysis_results/plots/network_013_network.pdf,dfs,False,2,True
network_014,complete_connection,signor,cell_cycle_focused,160,1081,0.0008647798742138365,0.1375,sensitivity_analysis_results/bnet_files/network_014_complete_connection_signor_algorithm-dfs_consensus-False_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_014_trajectories.png,,dfs,False,3,True
network_015,complete_connection,signor,random,30,60,0.0022988505747126436,0.06666666666666667,sensitivity_analysis_results/bnet_files/network_015_complete_connection_signor_algorithm-dfs_consensus-True_maxlen-2_only_signed-True.bnet,sensitivity_analysis_results/plots/network_015_trajectories.png,sensitivity_analysis_results/plots/network_015_network.pdf,dfs,True,2,True
network_016,complete_connection,signor,growth_focused,61,165,0.00273224043715847,0.16393442622950818,sensitivity_analysis_results/bnet_files/network_016_complete_connection_signor_algorithm-dfs_consensus-True_maxlen-3_only_signed-True.bnet,sensitivity_analysis_results/plots/network_016_trajectories.png,sensitivity_analysis_results/plots/network_016_network.pdf,dfs,True,3,True
network_017,connect_network_radially,omnipath,cell_cycle_focused,467,1535,0,0.0,sensitivity_analysis_results/bnet_files/network_017_connect_network_radially_omnipath_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_017_trajectories.png,,False,True
network_018,connect_network_radially,omnipath,random,387,1294,0,0.0,sensitivity_analysis_results/bnet_files/network_018_connect_network_radially_omnipath_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_018_trajectories.png,,True,True
network_019,connect_network_radially,signor,growth_focused,128,319,0,0.0,sensitivity_analysis_results/bnet_files/network_019_connect_network_radially_signor_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_019_trajectories.png,sensitivity_analysis_results/plots/network_019_network.pdf,False,True
network_020,connect_network_radially,signor,cell_cycle_focused,31,53,0,0.0,sensitivity_analysis_results/bnet_files/network_020_connect_network_radially_signor_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_020_trajectories.png,sensitivity_analysis_results/plots/network_020_network.pdf,True,True
network_021,connect_as_atopo,omnipath,random,193,2798,0,0.0,sensitivity_analysis_results/bnet_files/network_021_connect_as_atopo_omnipath_strategy-complete_max_len-2_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_021_trajectories.png,,complete,2,False,True
network_022,connect_as_atopo,omnipath,growth_focused,379,5129,0,0.0,sensitivity_analysis_results/bnet_files/network_022_connect_as_atopo_omnipath_strategy-complete_max_len-2_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_022_trajectories.png,,complete,2,True,True
network_023,connect_as_atopo,omnipath,cell_cycle_focused,356,4745,0,0.0,sensitivity_analysis_results/bnet_files/network_023_connect_as_atopo_omnipath_strategy-complete_max_len-3_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_023_trajectories.png,,complete,3,False,True
network_025,connect_as_atopo,signor,growth_focused,84,449,0.0008605851979345956,0.07142857142857142,sensitivity_analysis_results/bnet_files/network_025_connect_as_atopo_signor_strategy-complete_max_len-2_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_025_trajectories.png,sensitivity_analysis_results/plots/network_025_network.pdf,complete,2,False,True
network_026,connect_as_atopo,signor,cell_cycle_focused,30,60,0.0022988505747126436,0.06666666666666667,sensitivity_analysis_results/bnet_files/network_026_connect_as_atopo_signor_strategy-complete_max_len-2_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_026_trajectories.png,sensitivity_analysis_results/plots/network_026_network.pdf,complete,2,True,True
network_027,connect_as_atopo,signor,random,160,1081,0.0008647798742138365,0.1375,sensitivity_analysis_results/bnet_files/network_027_connect_as_atopo_signor_strategy-complete_max_len-3_consensus-False_only_signed-True.bnet,sensitivity_analysis_results/plots/network_027_trajectories.png,,complete,3,False,True
network_028,connect_as_atopo,signor,growth_focused,61,165,0.00273224043715847,0.16393442622950818,sensitivity_analysis_results/bnet_files/network_028_connect_as_atopo_signor_strategy-complete_max_len-3_consensus-True_only_signed-True.bnet,sensitivity_analysis_results/plots/network_028_trajectories.png,sensitivity_analysis_results/plots/network_028_network.pdf,complete,3,True,True
